Household_ID,Cluster_ID,Province,District,Area_Type,Habitat_Type,Dwelling_Type,Sleeping_Rooms,Dwelling_Owner,Occupancy_Status,Dwelling_Value_RWF,Estimated_Rent,Actual_Rent_Paid,Own_Residential_House,How_Acquired_House,Main_Water_Source,Distance_Water_Source_m,Time_To_Water_Source_min,Drinking_Water_Source,Water_Insufficiency_4weeks,Rainwater_Harvesting,Connected_To_Grid,Main_Lighting_Source,Electricity_Bill_RWF,Has_Internet,Cook_Stove_Type,Cooking_Fuel_Primary,Cooking_Location,Garbage_Disposal,Toilet_Type,Toilet_Shared,Environmental_Disaster,Wall_Material,Roof_Material,Floor_Material,Floor_Area_sqm,Own_Livestock,Cattle,Goats,Sheep,Pigs,Poultry,Consumption_Quintile,HH_Weight,Population_Weight,Extreme_Poverty,Poverty_Rate,Welfare_Category,Strata_ID,Rent_Final,Value_Per_Sqm,Rent_Per_Sqm,Room_Density,Internet_Flag,Urban_Flag,Value_Per_Room,Rent_Value_Ratio
302433,10271,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,3000000,16000,,,Constructed,Protected spring,2500,70,Protected spring,"No, always sufficient",No measures,1,Electricity from National Grid (EUCL),1000,No,Improved cooking stove,Straw/shrub/grass (udushari).,In a separate dwelling,Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Beaten earth,35.75,Yes,1,0,0,3,1,Q2,193.7847266,968.923645,Non Extreme Poor,1,Moderately poor,222,16000,83916.08392,447.5524476,0.055944056,0,0,1500000,0.005333333
302434,10272,Southern,Gisagara,Rural,Dispersed/Isolated housing,House occupied by one household,3,Spouse with head,Owner occupied,200000,3000,,,Inherited from parents,Protected spring,900,60,Protected spring,"No, always sufficient",Ditch,0,Torch (rechargeable or not)/Phone flashligh,0,No,Improved cooking stove,Straw/shrub/grass (udushari).,"In dwelling, not in  sleeping area",Compost heap on own property,Pit latrine without constructed floor slab,No,No,Tree trunks with mud,Local clay tiles,Beaten earth,20,Yes,0,2,0,1,0,Q1,203.3270238,1016.635132,1,1,Severaly Poor,222,3000,10000,150,0.15,0,0,66666.66667,0.015
302435,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Spouse with head,Owner occupied,3000000,10000,,,Constructed,Public tap/standpipe,900,30,Public tap/standpipe,"No, always sufficient",No measures,1,Electricity from National Grid (EUCL),1000,No,Improved cooking stove,Firewood,In a separate dwelling,Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Local clay tiles,Beaten earth,48.97,Yes,1,0,0,1,0,Q3,203.3270238,813.3081055,Non Extreme Poor,Non Poor,Non Poor,222,10000,61261.99714,204.2066571,0.040841331,0,0,1500000,0.003333333
302436,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,700000,3000,,,Constructed,Protected spring,1000,60,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Improved cooking stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Tree trunks with mud,Local clay tiles,Beaten earth,48,Yes,0,0,0,0,0,Q4,203.3270238,609.9810791,Non Extreme Poor,Non Poor,Non Poor,222,3000,14583.33333,62.5,0.041666667,0,0,350000,0.004285714
302437,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Spouse with head,Owner occupied,900000,5000,,,Constructed,Protected spring,900,60,Protected spring,"No, always sufficient",No measures,,Standalone solar system,0,No,Improved cooking stove,Firewood,In a separate dwelling,Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Metal sheets/corrugated iron,Beaten earth,40,Yes,0,0,0,1,0,Q4,203.3270238,813.3081055,Non Extreme Poor,Non Poor,Non Poor,222,5000,22500,125,0.05,0,0,450000,0.005555556
302438,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,1,Head,Owner occupied,1200000,6000,,,Constructed,Protected spring,1400,80,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Three stone/Traditional stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit Latrine with constructed floor slab,Yes,Yes,Tree trunks with mud,Local clay tiles,Beaten earth,38,Yes,0,4,0,1,0,Q3,203.3270238,609.9810791,Non Extreme Poor,Non Poor,Non Poor,222,6000,31578.94737,157.8947368,0.026315789,0,0,1200000,0.005
302439,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by multiple Households,2,Relative,Dwelling provided free of charge,1500000,4000,,No,,Unprotected well,7500,90,Unprotected well,"Yes, at least once",No measures,1,Electricity from National Grid (EUCL),0,No,Improved cooking stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit Latrine with constructed floor slab,No,Yes,Tree trunks with  mud and cement,Local clay tiles,Beaten earth,50.22,Yes,0,0,0,0,1,Q1,203.3270238,1016.635132,1,1,Severaly Poor,222,4000,29868.57826,79.64954202,0.039824771,0,0,750000,0.002666667
302440,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,7000000,30000,,,Bought,Protected spring,800,60,Protected spring,"No, always sufficient",No measures,1,Electricity from National Grid (EUCL),1000,Yes,Charcoal/fire stove,Firewood,In a separate dwelling,Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Tree trunks with  mud and cement,Local clay tiles,Cement,50.68,Yes,1,1,0,0,0,Q5,203.3270238,203.3270264,Non Extreme Poor,Non Poor,Non Poor,222,30000,138121.547,591.949487,0.039463299,1,0,3500000,0.004285714
302441,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,3000000,25000,,,Received as gift,Protected spring,2500,60,Public tap/standpipe,"Yes, at least once",No measures,1,Electricity from National Grid (EUCL),500,No,Improved cooking stove,Firewood,"In dwelling, not in  sleeping area",Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Mud bricks with cement,Metal sheets/corrugated iron,Cement,55.25,Yes,0,4,0,2,0,Q2,203.3270238,406.6540527,Non Extreme Poor,1,Moderately poor,222,25000,54298.64253,452.4886878,0.036199095,0,0,1500000,0.008333333
302442,10272,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Spouse with head,Owner occupied,4000000,25000,,,Received as gift,Public tap/standpipe,800,60,Public tap/standpipe,"Yes, at least once",Ditch,1,Electricity from National Grid (EUCL),500,Yes,Improved cooking stove,Firewood,In a separate dwelling,Compost heap on own property,Pit Latrine with constructed floor slab,No,No,Tree trunks with mud,Metal sheets/corrugated iron,Beaten earth,35,Yes,0,0,0,0,10,Q3,203.3270238,406.6540527,Non Extreme Poor,Non Poor,Non Poor,222,25000,114285.7143,714.2857143,0.057142857,1,0,2000000,0.00625
302443,10273,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,2,Head,Owner occupied,300000,2000,,,Constructed,Protected spring,1700,60,Protected spring,"No, always sufficient",No measures,0,Firewood,0,No,Three stone/Traditional stove,Straw/shrub/grass (udushari).,"In dwelling, not in  sleeping area",Compost heap on own property,Ventilated improved pit (VIP) latrine,No,No,Tree trunks with mud,Local clay tiles,Beaten earth,32.4,Yes,0,0,0,1,0,Q1,209.1921017,1045.960449,Non Extreme Poor,1,Moderately poor,222,2000,9259.259259,61.72839506,0.061728395,0,0,150000,0.006666667
302444,10273,Southern,Gisagara,Rural,Umudugudu (Planned rural settlement),House occupied by one household,1,Non relative,Dwelling provided free of charge,1500000,5000,,Yes,Constructed,Protected spring,350,10,Protected spring,"No, always sufficient",No measures,0,Torch (rechargeable or not)/Phone flashligh,0,No,Improved cooking stove,Straw/shrub/grass (udushari).,"In dwelling, not in  sleeping area",Thrown in the household?s fields or bushes,Pit Latrine with constructed floor slab,No,No,Tree trunks with mud,Metal sheets/corrugated iron,Beaten earth,13.8,Yes,1,0,0,0,3,Q1,209.1921017,1045.960449,Non Extreme Poor,1,Moderately poor,222,5000,108695.6522,362.3188406,0.072463768,0,0,1500000,0.003333333
